Record Length,Analog:7000,,,,
Sample Interval,CH1:0.0000010000000 CH2:0.0000010000000,,,,
Vertical Units,CH1:V CH2:V,,,,
Vertical Scale,CH1:0.05 CH2:0.50,,,,
Vertical Offset,CH1:-0.17100 CH2:-0.13000,,,,
Horizontal Units,us,,,,
Horizontal Scale,500,,,,
Model Number,T3DSO1104 ,,,,
Serial Number,T0101C18470265,,,,
Software Version,8.1.6.1.26,,,,
Source,CH1,CH2,,,
Second,Volt,Volt,,voltage,wavelength
0.00043,0.307,0.71,80.71,80.71,-0.197151906
0.000431,0.311,0.69,80.69,80.69,-0.19709236
0.000432,0.307,0.71,80.71,80.71,-0.197151906
0.000433,0.309,0.71,80.71,80.71,-0.197151906
0.000434,0.305,0.71,80.71,80.71,-0.197151906
0.000435,0.309,0.71,80.71,80.71,-0.197151906
0.000436,0.311,0.71,80.71,80.71,-0.197151906
0.000437,0.309,0.71,80.71,80.71,-0.197151906
0.000438,0.311,0.71,80.71,80.71,-0.197151906
0.000439,0.309,0.71,80.71,80.71,-0.197151906
0.00044,0.309,0.69,80.69,80.69,-0.19709236
0.000441,0.311,0.73,80.73,80.73,-0.197211453
0.000442,0.303,0.71,80.71,80.71,-0.197151906
0.000443,0.309,0.69,80.69,80.69,-0.19709236
0.000444,0.307,0.71,80.71,80.71,-0.197151906
