voltage,wavelength
100.4,-0.2509485
100.5,-0.2512245
100.6,-0.2514785
100.7,-0.2517275
100.8,-0.2519855
100.9,-0.2522425
101,-0.2524795
101.1,-0.2526985
101.2,-0.2529215
101.3,-0.2531675
101.4,-0.2534145
101.5,-0.2536455
101.6,-0.2538625
101.7,-0.2540875
101.8,-0.2543245
101.9,-0.2545695
102,-0.2547945
102.1,-0.2550025
102.2,-0.2552175
102.3,-0.2554525
102.4,-0.2557025
102.5,-0.2559445
102.6,-0.2561665
102.7,-0.2563885
102.8,-0.2566235
102.9,-0.2568615
103,-0.2570865
103.1,-0.2573105
103.2,-0.2575325
103.3,-0.2577785
103.4,-0.2580335
103.5,-0.2582655
103.6,-0.2584985
103.7,-0.2587385
103.8,-0.2589915
103.9,-0.2592585
104,-0.2595115
104.1,-0.2597505
104.2,-0.2600165
104.3,-0.2602935
104.4,-0.2605845
104.5,-0.2608595
104.6,-0.2611155
104.7,-0.2613765
104.8,-0.2616505
104.9,-0.2619445
105,-0.2622445
105.1,-0.2625245
105.2,-0.2628285
105.3,-0.2631405
105.4,-0.2634715
105.5,-0.2638045
105.6,-0.2641615
105.7,-0.2644965
105.8,-0.2648155
105.9,-0.2651535
106,-0.2655225
106.1,-0.2658575
106.2,-0.2661725
106.3,-0.2664665
106.4,-0.2667705
106.5,-0.2670725
106.6,-0.2673725
106.7,-0.2676565
106.8,-0.2679165
106.9,-0.2681675
107,-0.2684255
107.1,-0.2686775
107.2,-0.2689175
107.3,-0.2691385
107.4,-0.2693885
107.5,-0.2696715
107.6,-0.2699475
107.7,-0.2702025
107.8,-0.2704315
107.9,-0.2706955
108,-0.2709955
108.1,-0.2712805
108.2,-0.2715315
108.3,-0.2717575
108.4,-0.2720125
108.5,-0.2723035
108.6,-0.2725955
108.7,-0.2728565
108.8,-0.2730965
108.9,-0.2733555
109,-0.2736525
109.1,-0.2739385
109.2,-0.2741935
109.3,-0.2744235
109.4,-0.2746635
109.5,-0.2749455
109.6,-0.2752385
109.7,-0.2755045
109.8,-0.2757485
109.9,-0.2760025
110,-0.2763135
110.1,-0.2766195
110.2,-0.2769025
110.3,-0.2771465
110.4,-0.2773975
110.5,-0.2776915
110.6,-0.2779875
110.7,-0.2782595
110.8,-0.2785155
110.9,-0.2787655
111,-0.2790555
111.1,-0.2793485
111.2,-0.2796245
111.3,-0.2798735
111.4,-0.2801105
111.5,-0.2803805
111.6,-0.2806595
111.7,-0.2809345
111.8,-0.2811895
111.9,-0.2814335
112,-0.2817105
112.1,-0.2820005
112.2,-0.2822805
112.3,-0.2825445
112.4,-0.2827895
112.5,-0.2830595
112.6,-0.2833425
112.7,-0.2836215
112.8,-0.2838815
112.9,-0.2841265
113,-0.2843935
113.1,-0.2846805
113.2,-0.2849625
113.3,-0.2852285
113.4,-0.2854805
113.5,-0.2857475
113.6,-0.2860305
113.7,-0.2863125
113.8,-0.2865755
113.9,-0.2868235
114,-0.2870895
114.1,-0.2873665
114.2,-0.2876365
114.3,-0.2878935
114.4,-0.2881395
114.5,-0.2883965
114.6,-0.2886715
114.7,-0.2889485
114.8,-0.2892085
114.9,-0.2894585
115,-0.2897135
115.1,-0.2899875
115.2,-0.2902395
115.3,-0.2904825
115.4,-0.2907225
115.5,-0.2909685
115.6,-0.2912365
115.7,-0.2915105
115.8,-0.2917735
115.9,-0.2920305
116,-0.2922835
116.1,-0.2925415
116.2,-0.2927985
116.3,-0.2930465
116.4,-0.2932915
116.5,-0.2935325
116.6,-0.2937675
116.7,-0.2940275
116.8,-0.2942815
116.9,-0.2945305
117,-0.2947715
117.1,-0.2950075
117.2,-0.2952595
117.3,-0.2955115
117.4,-0.2957785
117.5,-0.2960295
117.6,-0.2962615
117.7,-0.2965075
117.8,-0.2967725
117.9,-0.2970345
118,-0.2972995
118.1,-0.2975455
118.2,-0.2978015
118.3,-0.2980795
118.4,-0.2983675
118.5,-0.2986515
118.6,-0.2989045
118.7,-0.2991485
118.8,-0.2994095
118.9,-0.2996715
119,-0.2999315
119.1,-0.3001775
119.2,-0.3004275
119.3,-0.3006815
119.4,-0.3009215
119.5,-0.3011475
119.6,-0.3013985
119.7,-0.3016095
119.8,-0.3018255
119.9,-0.3020905
120,-0.3023545
120.1,-0.3026085
120.2,-0.3028545
120.3,-0.3031085
120.4,-0.3033925
120.5,-0.3036855
120.6,-0.3039515
120.7,-0.3042035
120.8,-0.3044515
120.9,-0.3047225
121,-0.3050015
121.1,-0.3052675
121.2,-0.3055245
121.3,-0.3057845
121.4,-0.3060605
121.5,-0.3063485
121.6,-0.3066235
121.7,-0.3068905
121.8,-0.3071545
121.9,-0.3074235
122,-0.3076995
122.1,-0.3079745
122.2,-0.3082395
122.3,-0.3085015
122.4,-0.3087605
122.5,-0.3090335
122.6,-0.3093095
122.7,-0.3095795
122.8,-0.3098455
122.9,-0.3101035
123,-0.3103735
123.1,-0.3106475
123.2,-0.3108915
123.3,-0.3111385
123.4,-0.3113725
123.5,-0.3116245
123.6,-0.3118835
123.7,-0.3121335
123.8,-0.3123815
123.9,-0.3126205
124,-0.3128835
124.1,-0.3131585
124.2,-0.3134115
124.3,-0.3136525
124.4,-0.3138905
124.5,-0.3141385
124.6,-0.3144155
124.7,-0.3146735
124.8,-0.3149275
124.9,-0.3151765
125,-0.3154245
125.1,-0.3157085
125.2,-0.3159755
125.3,-0.3162135
125.4,-0.3164525
125.5,-0.3166925
125.6,-0.3169625
125.7,-0.3172275
125.8,-0.3174765
125.9,-0.3177195
126,-0.3179695
126.1,-0.3182435
126.2,-0.3185325
126.3,-0.3187875
126.4,-0.3190335
126.5,-0.3192875
126.6,-0.3195575
126.7,-0.3198455
126.8,-0.3201125
126.9,-0.3203605
127,-0.3205995
127.1,-0.3208605
127.2,-0.3211415
127.3,-0.3214125
127.4,-0.3216605
127.5,-0.3218975
127.6,-0.3221465
127.7,-0.3224205
127.8,-0.3226955
127.9,-0.3229445
128,-0.3231725
128.1,-0.3234045
128.2,-0.3236585
128.3,-0.3239355
128.4,-0.3241925
128.5,-0.3244295
128.6,-0.3246575
128.7,-0.3248985
128.8,-0.3251635
128.9,-0.3254355
129,-0.3256845
